,LT.C2.Fibel,Glasarmring.gerippt,Glasarmring.genoppt,Gürtelkette,Fingerring.mehrfach.gewickelt.plastisch,LT.C1.Fibel,Glasarmring.Fadenauflage,Ring..Fuss..Armring.Blech.um.Eisen.Ton,Hohlbuckelarmringe,Schaukelfingerringe,LT.B2.Fibel,Arm..Fussring.genoppt..plastisch..Vollguss,Arm..Fussring.plastisch.gerippt,Fingerring.flachblech,Kette,Armreif.mit.Korallenauflage,Lanze,LT.B1.Fibel,Schwert,Arm..Fussring.vollguss.massiv,Arm..Fussringe.gerippt.dicht,Draht.Fingerring.runder.QS,Certosafibel,Bernsteinkette,Halsring.plastisch..vollguss,Halsring.hohlblech..geritzt,Glasperlen,Arm..Fussring.einfach.od..geritzt..hohl,LT.A.Fibel,Halsring.m..Muffen,Arm..Fussring.gerippt.vollguss,Hirschgeweih,Armring.mit.Muffen,Arm.Fussring.einfach..vollguss.lochverschluss..Steckverschluss,Halsring.einfach.geritzt..Vollguss,Phase
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,4,2,1,2,1,0,0,5,0,0,0,0,0,0,0,0,3
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,4,2,0,0,0,0,0,0,3
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,3,0,0,0,0,0,1,3
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,3,0,4
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0,0,1,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,4,4,1,0,1,0,2,0,4
8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0,0,0,0,2,0,4
8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,2,0,0,4
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,2,1,0,0,0,4
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,4
